origin_text,vi_standard,origin_no_tone,cipher_surface,rime_rule_id,tone_class,protected_flag,decode_key,row_hmac
paymentmethodpresent,phương thức thanh toán hiện tại,phương thưc thanh toan hiên tai,phuong thuc thanh toan hien tai,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C1,C0,C1,C5,C5",false,"phương thưc thanh toan hiên tai|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C1,C0,C1,C5,C5",cd1cee5ea52b75181e9932d52aacf58fdd685804989593fef4fda0339ab21809
paymentmethodregistrykey,khóa đăng ký phương thức thanh toán,khoa đăng ky phương thưc thanh toan,khoa đang ky phuong thuc thanh toan,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C0,C1,C0,C1,C0,C1",false,"khoa đăng ky phương thưc thanh toan|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C0,C1,C0,C1,C0,C1",0caee39061d845f3301f698c82d596d259777b01d6cc1d3f199557283cf340ec
paymentoriented,hướng đến thanh toán,hương đên thanh toan,huong đen thanh toan,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C1,C0,C1",false,"hương đên thanh toan|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C1,C0,C1",52ea746472690cec3d136808e2d686ae22ae28ed16cdb4b7b50c4c194226cf07
paymentorientednoperiod,định hướng thanh toán không kỳ hạn,đinh hương thanh toan không ky han,đinh huong thanh toan khong ky han,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C5,C1,C0,C1,C0,C2,C5",false,"đinh hương thanh toan không ky han|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C5,C1,C0,C1,C0,C2,C5",bffdf38c78cb00412eef905556b4632b45560b8f70a008701869ec5f84a321dd
paymentpageelementssessions,trang thanh toán các phần tử trang,trang thanh toan cac phân tư trang,trang thanh toan cac phan tu trang,"R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C0,C1,C1,C2,C3,C0",false,"trang thanh toan cac phân tư trang|R_KEEP,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C0,C1,C1,C2,C3,C0",30e4e61183ce5de4c4d0b2df1c699e7ba0fec99338ac15969cd0d62fda13d761
paymentsperperiod,thanh toán mỗi kỳ,thanh toan môi ky,thanh toan mau ky,"R_KEEP,R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY","C0,C1,C4,C2",false,"thanh toan môi ky|R_KEEP,R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY|C0,C1,C4,C2",18690494afdfb11a49ddbc27f8d8187e40a26e0695022cdfc1ade7d705feeecc
paymentsaga,câu chuyện thanh toán,câu chuyên thanh toan,cau chuyen thanh toan,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C0,C5,C0,C1",false,"câu chuyên thanh toan|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C0,C5,C0,C1",71f6b4e97bb4837e28c5ceac370fd58f379b90a8acdc06fcfdba14d030fdd336
paymentsucceededhandler,người xử lý thanh toán thành công,ngươi xư ly thanh toan thanh công,ngui xu ly thanh toan thanh cong,"RN_UOI_UI,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C2,C3,C1,C0,C1,C2,C0",false,"ngươi xư ly thanh toan thanh công|RN_UOI_UI,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C2,C3,C1,C0,C1,C2,C0",69dcedf6a015b042f5ec7003473a99dac6c32a88bbeb1c4cd4d8c100b73e5bb1
paymenttermdays,ngày điều khoản thanh toán,ngay điêu khoan thanh toan,ngay đieu khoan thanh toan,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C2,C2,C3,C0,C1",false,"ngay điêu khoan thanh toan|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C2,C2,C3,C0,C1",b0af2b64d6d183f765f83c84cf23e00dc939428ddd91eba3652fcbbfb806eac1
paymenttext,văn bản thanh toán,văn ban thanh toan,ven ban thanh toan,"RN_AN_EN,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C0,C3,C0,C1",false,"văn ban thanh toan|RN_AN_EN,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C0,C3,C0,C1",1964c1ff5832fafa78ec798a58a9823a2b3221c1a549711b0d6c54805993d21d
paymenttype,loại thanh toán,loai thanh toan,loai thanh toan,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C5,C0,C1",false,"loai thanh toan|R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C5,C0,C1",df25bb024f180d401ab2eeb3d6ff3863f12761c11652c57050b0ea32abe12376
payoff,khoản thanh toán,khoan thanh toan,khoan thanh toan,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C3,C0,C1",false,"khoan thanh toan|R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C3,C0,C1",d028f1f987111a5de60fd25d5d82e842abf3a78d6cbdb1275da5b7f7f8933021
payout,thanh toán,thanh toan,thanh toan,"R_KEEP,R_TONE_ONLY","C0,C1",false,"thanh toan|R_KEEP,R_TONE_ONLY|C0,C1",9db5a5e4cf9fd5916bd383704cf19ecf0dc3efac779f209b6923ec7b9c0318a7
payoutmethod,phương thức thanh toán,phương thưc thanh toan,phuong thuc thanh toan,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C0,C1,C0,C1",false,"phương thưc thanh toan|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C0,C1,C0,C1",7425cf7788ef74ed35833be5cf7da3155ee6281d8d7d925e12d941e1cc1001cc
payoutmethoddata,dữ liệu phương thức thanh toán,dư liêu phương thưc thanh toan,du lieu phuong thuc thanh toan,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C4,C5,C0,C1,C0,C1",false,"dư liêu phương thưc thanh toan|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C4,C5,C0,C1,C0,C1",b8c4ca91a586cea1a257c2e7d4cda7702b3dcdd70fa2c027bf55ec5671d9babc
payoutmethod,phương thức thanh toán,phương thưc thanh toan,phuong thuc thanh toan,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C0,C1,C0,C1",false,"phương thưc thanh toan|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C0,C1,C0,C1",7425cf7788ef74ed35833be5cf7da3155ee6281d8d7d925e12d941e1cc1001cc
payrollbatchcompleted,bảng lương đã hoàn tất,bang lương đa hoan tât,bang luong đa hoan tat,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C3,C0,C4,C2,C1",false,"bang lương đa hoan tât|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C3,C0,C4,C2,C1",536a12a4d4d97f0ce081909dbebb7aad9fc7691155120606448293e6e5091aaa
pays,trả tiền,tra tiên,tra tien,"R_TONE_ONLY,R_TONE_ONLY","C3,C2",false,"tra tiên|R_TONE_ONLY,R_TONE_ONLY|C3,C2",2a164fc9e2c79b44edcfbabb187cf48e681f8995123be6dc46285558916a199e
paytm,thanh toán,thanh toan,thanh toan,"R_KEEP,R_TONE_ONLY","C0,C1",false,"thanh toan|R_KEEP,R_TONE_ONLY|C0,C1",9db5a5e4cf9fd5916bd383704cf19ecf0dc3efac779f209b6923ec7b9c0318a7
payu,trả lương,tra lương,tra luong,"R_TONE_ONLY,R_KEEP","C3,C0",false,"tra lương|R_TONE_ONLY,R_KEEP|C3,C0",5df75b02ea1954936d138811e48a41348b80ab3e7972106eb93bc4522c32d328
pelayoutupdate,cập nhật bố cục,câp nhât bô cuc,cap nhat bo cuc,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C5,C1,C5",false,"câp nhât bô cuc|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C5,C1,C5",dadeed448a33b44a07c5376b4800fe883af7f1692ab162701da601fc62d603d0
peachpuff,bánh đào,banh đao,banh đao,"R_TONE_ONLY,R_TONE_ONLY","C1,C2",false,"banh đao|R_TONE_ONLY,R_TONE_ONLY|C1,C2",70501792e2383d633224ae40fbece37592289bae0a9128f0dbb5d889580e4c44
peakactivityms,hoạt động đỉnh cao,hoat đông đinh cao,hoat đong đinh cao,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C5,C5,C3,C0",false,"hoat đông đinh cao|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C5,C5,C3,C0",4a9ed40fa8097065c97840c5209928bb635dd42c973109d2a54102d112e39cef
pedagogical,sư phạm,sư pham,su pham,"R_KEEP,R_TONE_ONLY","C0,C5",false,"sư pham|R_KEEP,R_TONE_ONLY|C0,C5",f308d74275e1edd8322b6a319cb04df2215825e192bd28c5e8133ba0ad8988cf
peeragents,các tác nhân ngang hàng,cac tac nhân ngang hang,cac tac nhan ngang hang,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY","C1,C1,C0,C0,C2",false,"cac tac nhân ngang hang|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY|C1,C1,C0,C0,C2",4c326500f90218fed44e6da991de833a5fbd79dcbb1484d69dd4df8dfb6e7c90
peercell,tế bào ngang hàng,tê bao ngang hang,te bao ngang hang,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C2,C0,C2",false,"tê bao ngang hang|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C2,C0,C2",90a9f10861fac442ff1ca09c23dd0585fd343911dd336667cc24d34b41d2d9ac
peercollab,cộng tác ngang hàng,công tac ngang hang,cong tac ngang hang,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C5,C1,C0,C2",false,"công tac ngang hang|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C5,C1,C0,C2",c9de91d8adc6b34b7154ec67f7efe09af59dcde4f2f37b09b288c3eea799c09b
peernote,ghi chú ngang hàng,ghi chu ngang hang,ghi chu ngang hang,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C0,C1,C0,C2",false,"ghi chu ngang hang|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C0,C1,C0,C2",4a4017966b71a5f687bb96594947260551e918659132140f11933abe6b063016
peersupport,hỗ trợ đồng đẳng,hô trơ đông đăng,ho tro đong đang,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C4,C5,C2,C3",false,"hô trơ đông đăng|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C4,C5,C2,C3",4572a9d82b3e40d8e5f6585201c2d5247198eb81995de4f39b8eb614724ec4c2
pegged,đóng cọc,đong coc,đong coc,"R_TONE_ONLY,R_TONE_ONLY","C1,C5",false,"đong coc|R_TONE_ONLY,R_TONE_ONLY|C1,C5",b48ab5bc41c00ee77fb1229aa97421497749b04ebe9aeb505502340af8d6c30d
penaltiescount,số lần phạt,sô lân phat,so lan phat,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C2,C5",false,"sô lân phat|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C2,C5",a2365e8db9d893c191fc16900ac7ead9d5d912acecfbc22a56e2d30842024f4b
penancemode72h,chế độ sám hối 72 giờ,chê đô sam hôi 72 giơ,che đo sam hau 72 gio,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,RN_OI_AU,R_KEEP,R_TONE_ONLY","C1,C5,C1,C1,C0,C2",false,"chê đô sam hôi 72 giơ|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,RN_OI_AU,R_KEEP,R_TONE_ONLY|C1,C5,C1,C1,C0,C2",390764125b0a4cc2befa04194dc25fe3275f8415616925c45480e798c5fae2a4
pend,đang chờ xử lý,đang chơ xư ly,đang cho xu ly,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C2,C3,C1",false,"đang chơ xư ly|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C2,C3,C1",98dab5f40649a962111b1edb30cade4200857ef2e0b444181f7d956cd2809ded
pendingdata,dữ liệu đang chờ xử lý,dư liêu đang chơ xư ly,du lieu đang cho xu ly,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C4,C5,C0,C2,C3,C1",false,"dư liêu đang chơ xư ly|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C4,C5,C0,C2,C3,C1",e560294258bdacc011420ed4f90ebe804e6e45e5f4235840c03291f1edafc2fb
pendinginspection,đang chờ kiểm tra,đang chơ kiêm tra,đang cho kiem tra,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C2,C3,C0",false,"đang chơ kiêm tra|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C2,C3,C0",0e99a8038248d689acaa9415d2ebf677ed9a480d10934998113cbcc1afa3572c
pendingkim,đang chờ xử lý,đang chơ xư ly,đang cho xu ly,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C2,C3,C1",false,"đang chơ xư ly|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C2,C3,C1",98dab5f40649a962111b1edb30cade4200857ef2e0b444181f7d956cd2809ded
pendingverification,đang chờ xác minh,đang chơ xac minh,đang cho xac minh,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP","C0,C2,C1,C0",false,"đang chơ xac minh|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_KEEP|C0,C2,C1,C0",ba9b0c52bbdc267d2d7c7f50a74b5966c075f3eadbdf41cfbfd054b926bfa49e
pendingworkfornextsession,công việc đang chờ xử lý cho phiên tiếp theo,công viêc đang chơ xư ly cho phiên tiêp theo,cong viec đang cho xu ly cho phien tiep theo,"R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP","C0,C5,C0,C2,C3,C1,C0,C0,C1,C0",false,"công viêc đang chơ xư ly cho phiên tiêp theo|R_KEEP,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_KEEP,R_TONE_ONLY,R_KEEP|C0,C5,C0,C2,C3,C1,C0,C0,C1,C0",7b2e44901ffd5eff6eef52df14058ce1f238f155b330c17877305c221033b6ed
pendinginvites,lời mời đang chờ xử lý,lơi mơi đang chơ xư ly,loi moi đang cho xu ly,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C2,C2,C0,C2,C3,C1",false,"lơi mơi đang chơ xư ly|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C2,C2,C0,C2,C3,C1",1fbbfa6f7ef2f71e2515abf6071c35b252bfe9bdbf79684f9fcb393801d09e18
pengar,tiền,tiên,tien,R_TONE_ONLY,C2,false,tiên|R_TONE_ONLY|C2,d51f867f9945af95957c1042e29378094afab19db4a41bd73061046f8cee6e9a
perevolutioncycle,chu kỳ tiến hóa,chu ky tiên hoa,chu ky tien hoa,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C2,C1,C1",false,"chu ky tiên hoa|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C2,C1,C1",b841835aaa911a75f2bfaa27e5c2f7851dc8948bb4fddba5b61b8df738e4c2f0
pertask,mỗi nhiệm vụ,môi nhiêm vu,mau nhiem vu,"RN_OI_AU,R_TONE_ONLY,R_TONE_ONLY","C4,C5,C5",false,"môi nhiêm vu|RN_OI_AU,R_TONE_ONLY,R_TONE_ONLY|C4,C5,C5",1d1a8c35687239b65db77d66980ca3d228757853b435280dfba575caa524b6d0
percentownership,phần trăm sở hữu,phân trăm sơ hưu,phan tram so huu,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C2,C0,C3,C4",false,"phân trăm sơ hưu|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C2,C0,C3,C4",36c9ae3b0f36074dfe076f47bad23381a4efcc767b476647067fe9a98b753806
perceptual,nhận thức,nhân thưc,nhan thuc,"R_TONE_ONLY,R_TONE_ONLY","C5,C1",false,"nhân thưc|R_TONE_ONLY,R_TONE_ONLY|C5,C1",c850707e4e032605e502405571f34357104197761ec2880a5cc75643b685cd47
perfectmatch,sự phù hợp hoàn hảo,sư phu hơp hoan hao,su phu hop hoan hao,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C2,C5,C2,C3",false,"sư phu hơp hoan hao|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C2,C5,C2,C3",b13a1572c264aa417556c6420b5cbe58991f83a379f9640572dac94fe5df54a5
perfectly,hoàn hảo,hoan hao,hoan hao,"R_TONE_ONLY,R_TONE_ONLY","C2,C3",false,"hoan hao|R_TONE_ONLY,R_TONE_ONLY|C2,C3",8ce275edad1ccdfa041e8922fc0ea4962863ad1b7b8bff5d8554c8d1ce97358c
performanceentries,mục hiệu suất,muc hiêu suât,muc hieu suat,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C5,C1",false,"muc hiêu suât|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C5,C1",ec1063e2040137b83647f780c0c2b289aa5351f8a313fabfa5d506db2c70fcfd
performative,mang tính biểu diễn,mang tinh biêu diên,mang tinh bieu dien,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C1,C3,C4",false,"mang tinh biêu diên|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C1,C3,C4",0aef721440e5490c5fbaeb34de584384ed3804b22282f8f5cca16b2f96ffa366
performedat,được thực hiện tại,đươc thưc hiên tai,đuoc thuc hien tai,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C5,C5,C5",false,"đươc thưc hiên tai|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C5,C5,C5",8ae4e272642778a3478bb12b8e6d2532998d7bbd3aaa8065c1eca2223f8fcee7
performgroupaction,thực hiện hành động nhóm,thưc hiên hanh đông nhom,thuc hien hanh đong nhom,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C5,C2,C5,C1",false,"thưc hiên hanh đông nhom|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C5,C2,C5,C1",b713ef5bd909123bf8fc63d967a465020ff0deb577344e6964a8aaa8c9210b2d
performing,thực hiện,thưc hiên,thuc hien,"R_TONE_ONLY,R_TONE_ONLY","C5,C5",false,"thưc hiên|R_TONE_ONLY,R_TONE_ONLY|C5,C5",dcd3195398c71614213a1e5c887431c99b9f0217dc0adb9c51f9a943b9475ed4
perhaps,có lẽ,co le,co le,"R_TONE_ONLY,R_TONE_ONLY","C1,C4",false,"co le|R_TONE_ONLY,R_TONE_ONLY|C1,C4",3766f8efb240daea6bea534b89c1bd224d6c09c0b05f3959ff5099f38a861aa0
periodclosed,thời gian đã đóng,thơi gian đa đong,thoi gian đa đong,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C2,C0,C4,C1",false,"thơi gian đa đong|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C2,C0,C4,C1",cfe44a945c01de352a2b62e1ca2227387057405dc51f1709573f4eecdae64b32
periodclose,kết thúc kỳ,kêt thuc ky,ket thuc ky,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C1,C2",false,"kêt thuc ky|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C1,C2",33b5bc550646a8ed4ee5520498a2efb051b28644ecdce58249c6fd1124a82fa6
periodcloserequest,yêu cầu đóng kỳ,yêu câu đong ky,yeu cau đong ky,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C2,C1,C2",false,"yêu câu đong ky|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C2,C1,C2",6261b62f9ae484e7c7eecb852bcafbfbe409e3b1f773e0d864f0876d3deb4909
periodcloseservices,dịch vụ đóng kỳ,dich vu đong ky,dich vu đong ky,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C5,C5,C1,C2",false,"dich vu đong ky|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C5,C5,C1,C2",7afc70fb947abcf40a7140c1c36f8356833a58cc1b2bdfda85c6be484e7f9e48
permanentnodecandidate,ứng viên nút vĩnh viễn,ưng viên nut vinh viên,ung vien nut vinh vien,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C1,C0,C1,C4,C4",false,"ưng viên nut vinh viên|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C1,C0,C1,C4,C4",c3ea1bb11852436877a87b6169be1172d6af2117e6f5a7ce9583e06dabce1a38
permanentrules,quy tắc vĩnh viễn,quy tăc vinh viên,quy tac vinh vien,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C0,C1,C4,C4",false,"quy tăc vinh viên|R_KEEP,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C0,C1,C4,C4",3216c156269dbf3ce9b9e4e4b0bb23004e01b1cc6204e6f9fbeaa3cd41c98460
permanentthreshold,ngưỡng vĩnh viễn,ngương vinh viên,nguong vinh vien,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C4,C4,C4",false,"ngương vinh viên|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C4,C4,C4",b8403d1c7d3fef02c0dae3bac67a3530f165a0b412b7df1a9cb3d68269be0208
permessage,tin nhắn,tin nhăn,tin nhen,"R_KEEP,RN_AN_EN","C0,C1",false,"tin nhăn|R_KEEP,RN_AN_EN|C0,C1",297d4bbbd80676cfc99ac7c247c68c8402c8460b956161d30284300d2f537992
permissionfix,sửa lỗi quyền,sưa lôi quyên,sua lau quyen,"R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY","C3,C4,C2",false,"sưa lôi quyên|R_TONE_ONLY,RN_OI_AU,R_TONE_ONLY|C3,C4,C2",1dba6a910580d2663c1a4dc55aa098caeddd22c5d7a9047a69b1c860892991a2
permissiongovernance,quản trị quyền hạn,quan tri quyên han,quan tri quyen han,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C3,C5,C2,C5",false,"quan tri quyên han|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C3,C5,C2,C5",c56c5b25d7ecfa5335c8ea7474cc89c0859b5b9cd573b82ad4037ea6fc652c8b
permissionmanagement,quản lý quyền,quan ly quyên,quan ly quyen,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C3,C1,C2",false,"quan ly quyên|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C3,C1,C2",36c52cec36f83fb3881031adf7889e2ae58588a3d07d27fd67599f693066493e
permissionmanagementflows,luồng quản lý quyền,luông quan ly quyên,luong quan ly quyen,"R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY","C2,C3,C1,C2",false,"luông quan ly quyên|R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY,R_TONE_ONLY|C2,C3,C1,C2",fd72d3cd120e410a284564454889ba5b819af82f53d8c093c6f4749675ba7243
permissionverification,xác minh quyền,xac minh quyên,xac minh quyen,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C1,C0,C2",false,"xac minh quyên|R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C1,C0,C2",d564df807935e371f87b17bf2fe8fb49ffc504d75111f7ce4be117a4cb529754
permissioned,được cho phép,đươc cho phep,đuoc cho phep,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C5,C0,C1",false,"đươc cho phep|R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C5,C0,C1",6d4854eb7ca5a497ed1ebd84d2df75cb832b8f5c268fff434ebbda6da1e54b85
permissionmatrix,ma trận quyền,ma trân quyên,ma tran quyen,"R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C0,C5,C2",false,"ma trân quyên|R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C0,C5,C2",68093585ca10cdd2d9c12bb85d18f365817a9bd09293f313585d8156f3815f0d
permittedfunctions,chức năng được phép,chưc năng đươc phep,chuc nang đuoc phep,"R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY","C1,C0,C5,C1",false,"chưc năng đươc phep|R_TONE_ONLY,R_KEEP,R_TONE_ONLY,R_TONE_ONLY|C1,C0,C5,C1",793c600565422580d68b96e05914360185e7319b50af68af53191af1c46e6e96
perplexity,sự bối rối,sư bôi rôi,su bau rau,"R_TONE_ONLY,RN_OI_AU,RN_OI_AU","C5,C1,C1",false,"sư bôi rôi|R_TONE_ONLY,RN_OI_AU,RN_OI_AU|C5,C1,C1",9454caa1dc6b598b149c19908b1a92592ad5c4410d19935a2fe31f2b968b0ac1
persendirian,người persendirian,ngươi persendirian,ngui persendirian,"RN_UOI_UI,R_KEEP","C2,C0",false,"ngươi persendirian|RN_UOI_UI,R_KEEP|C2,C0",b0afac654e8309df0cdb5dce9ae70e3a7c98b59b44efc2c862f97bb9b98eb454
persistedposition,vị trí kiên trì,vi tri kiên tri,vi tri kien tri,"R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY","C5,C1,C0,C2",false,"vi tri kiên tri|R_TONE_ONLY,R_TONE_ONLY,R_KEEP,R_TONE_ONLY|C5,C1,C0,C2",2870996c1111c10bae7252551a66c50052f81ccf9911ea15f445f78af7407b6a
